"Layer","Recommended stack","Why"
"Frontend apps","Next.js, TypeScript, Tailwind, TanStack Query, Zustand or XState","Strong fit for dashboard + portal + workflow-heavy state."
"SDKs","TypeScript core SDK, React SDK, tsup, Storybook","Lets you ship embeddable import/progress widgets with shared contracts."
"Backend app","NestJS or Fastify + TypeScript","Good balance of modular architecture, DX, queues, auth, and typed APIs."
"Background jobs","BullMQ + Redis initially","Simpler than Kafka-first, enough for validation, import, retry, and sync jobs."
"Database","PostgreSQL","Best fit for workflow state, auditability, versioned configs, and relational integrity."
"File storage","S3 / MinIO","Required for large uploads, raw source files, validation reports, and snapshots."
"Search / filtering","PostgreSQL JSONB first, optional OpenSearch later","Good enough initially for issue search and logs."
"Realtime","WebSockets or SSE","Useful for long-running import progress and live status updates."
"Auth","Auth.js, Clerk, or custom JWT + RBAC","Use RBAC with tenant-aware roles from the beginning."
"Observability","OpenTelemetry, Grafana, Loki, Tempo, Sentry","Strong architecture signal and useful for job tracing."
"Monorepo","Turborepo + pnpm","Ideal for apps, SDKs, contracts, and shared UI."
"Infra","Docker Compose locally; Render/Fly/AWS for deploy","Keeps it practical while still professional."
